,fiscal_year,mission,cost,destination
952,1974,Lunar Orbiter,,Moon
953,1975,Lunar Orbiter,,Moon
954,1976,Lunar Orbiter,,Moon
956,1977,Lunar Orbiter,,Moon
957,1978,Lunar Orbiter,,Moon
958,1979,Lunar Orbiter,,Moon
959,1980,Lunar Orbiter,,Moon
960,1981,Lunar Orbiter,,Moon
961,1982,Lunar Orbiter,,Moon
962,1983,Lunar Orbiter,,Moon
963,1984,Lunar Orbiter,,Moon
964,1985,Lunar Orbiter,,Moon
965,1986,Lunar Orbiter,,Moon
966,1987,Lunar Orbiter,,Moon
967,1988,Lunar Orbiter,,Moon
968,1989,Lunar Orbiter,,Moon
969,1990,Lunar Orbiter,,Moon
970,1991,Lunar Orbiter,,Moon
971,1992,Lunar Orbiter,,Moon
972,1993,Lunar Orbiter,,Moon
973,1994,Lunar Orbiter,,Moon
974,1995,Lunar Orbiter,,Moon
975,1996,Lunar Orbiter,,Moon
976,1997,Lunar Orbiter,,Moon
977,1998,Lunar Orbiter,,Moon
978,1999,Lunar Orbiter,,Moon
979,2000,Lunar Orbiter,,Moon
980,2001,Lunar Orbiter,,Moon
981,2002,Lunar Orbiter,,Moon
982,2003,Lunar Orbiter,,Moon
983,2004,Lunar Orbiter,,Moon
984,2005,Lunar Orbiter,,Moon
985,2006,Lunar Orbiter,,Moon
986,2007,Lunar Orbiter,,Moon
987,2008,Lunar Orbiter,,Moon
988,2009,Lunar Orbiter,,Moon
989,2010,Lunar Orbiter,,Moon
990,2011,Lunar Orbiter,,Moon
991,2012,Lunar Orbiter,,Moon
992,2013,Lunar Orbiter,,Moon
993,2014,Lunar Orbiter,,Moon
994,2015,Lunar Orbiter,,Moon
995,2016,Lunar Orbiter,,Moon
996,2017,Lunar Orbiter,,Moon
997,2018,Lunar Orbiter,,Moon
998,2019,Lunar Orbiter,,Moon
999,2020,Lunar Orbiter,,Moon
1000,2021,Lunar Orbiter,,Moon
1001,2022,Lunar Orbiter,,Moon
1002,2023,Lunar Orbiter,,Moon
1003,2024,Lunar Orbiter,,Moon
1004,2025,Lunar Orbiter,,Moon
1005,1960,Lunar Prospector,,Moon
1006,1961,Lunar Prospector,,Moon
1007,1962,Lunar Prospector,,Moon
1008,1963,Lunar Prospector,,Moon
1009,1964,Lunar Prospector,,Moon
1010,1965,Lunar Prospector,,Moon
1011,1966,Lunar Prospector,,Moon
1012,1967,Lunar Prospector,,Moon
1013,1968,Lunar Prospector,,Moon
1014,1969,Lunar Prospector,,Moon
1015,1970,Lunar Prospector,,Moon
1016,1971,Lunar Prospector,,Moon
1017,1972,Lunar Prospector,,Moon
1018,1973,Lunar Prospector,,Moon
1019,1974,Lunar Prospector,,Moon
1020,1975,Lunar Prospector,,Moon
1021,1976,Lunar Prospector,,Moon
1023,1977,Lunar Prospector,,Moon
1024,1978,Lunar Prospector,,Moon
1025,1979,Lunar Prospector,,Moon
1026,1980,Lunar Prospector,,Moon
1027,1981,Lunar Prospector,,Moon
1028,1982,Lunar Prospector,,Moon
1029,1983,Lunar Prospector,,Moon
1030,1984,Lunar Prospector,,Moon
1031,1985,Lunar Prospector,,Moon
1032,1986,Lunar Prospector,,Moon
1033,1987,Lunar Prospector,,Moon
1034,1988,Lunar Prospector,,Moon
1035,1989,Lunar Prospector,,Moon
1036,1990,Lunar Prospector,,Moon
1037,1991,Lunar Prospector,,Moon
1038,1992,Lunar Prospector,,Moon
1039,1993,Lunar Prospector,,Moon
1040,1994,Lunar Prospector,,Moon
1041,1995,Lunar Prospector,,Moon
1042,1996,Lunar Prospector,36.4,Moon
1043,1997,Lunar Prospector,20.6,Moon
1044,1998,Lunar Prospector,4.7,Moon
1045,1999,Lunar Prospector,2.2,Moon
1046,2000,Lunar Prospector,,Moon
1047,2001,Lunar Prospector,,Moon
1048,2002,Lunar Prospector,,Moon
1049,2003,Lunar Prospector,,Moon
1050,2004,Lunar Prospector,,Moon
1051,2005,Lunar Prospector,,Moon
1052,2006,Lunar Prospector,,Moon
1053,2007,Lunar Prospector,,Moon
1054,2008,Lunar Prospector,,Moon
1055,2009,Lunar Prospector,,Moon
1056,2010,Lunar Prospector,,Moon
1057,2011,Lunar Prospector,,Moon
1058,2012,Lunar Prospector,,Moon
1059,2013,Lunar Prospector,,Moon
1060,2014,Lunar Prospector,,Moon
1061,2015,Lunar Prospector,,Moon
1062,2016,Lunar Prospector,,Moon
1063,2017,Lunar Prospector,,Moon
1064,2018,Lunar Prospector,,Moon
1065,2019,Lunar Prospector,,Moon
1066,2020,Lunar Prospector,,Moon
1067,2021,Lunar Prospector,,Moon
1068,2022,Lunar Prospector,,Moon
1069,2023,Lunar Prospector,,Moon
1070,2024,Lunar Prospector,,Moon
1071,2025,Lunar Prospector,,Moon
1072,1960,Lunar Ranger,19.542,Moon
1073,1961,Lunar Ranger,45.066,Moon
1074,1962,Lunar Ranger,63.43,Moon
1075,1963,Lunar Ranger,71.263,Moon
1076,1964,Lunar Ranger,30.306,Moon
1077,1965,Lunar Ranger,11.037,Moon
1078,1966,Lunar Ranger,1,Moon
1079,1967,Lunar Ranger,,Moon
1080,1968,Lunar Ranger,,Moon
1081,1969,Lunar Ranger,,Moon
1082,1970,Lunar Ranger,,Moon
1083,1971,Lunar Ranger,,Moon
1084,1972,Lunar Ranger,,Moon
1085,1973,Lunar Ranger,,Moon
1086,1974,Lunar Ranger,,Moon
1087,1975,Lunar Ranger,,Moon
1088,1976,Lunar Ranger,,Moon
1090,1977,Lunar Ranger,,Moon
1091,1978,Lunar Ranger,,Moon
1092,1979,Lunar Ranger,,Moon
1093,1980,Lunar Ranger,,Moon
1094,1981,Lunar Ranger,,Moon
1095,1982,Lunar Ranger,,Moon
1096,1983,Lunar Ranger,,Moon
1097,1984,Lunar Ranger,,Moon
1098,1985,Lunar Ranger,,Moon
1099,1986,Lunar Ranger,,Moon
1100,1987,Lunar Ranger,,Moon
1101,1988,Lunar Ranger,,Moon
1102,1989,Lunar Ranger,,Moon
1103,1990,Lunar Ranger,,Moon
1104,1991,Lunar Ranger,,Moon
1105,1992,Lunar Ranger,,Moon
1106,1993,Lunar Ranger,,Moon
1107,1994,Lunar Ranger,,Moon
1108,1995,Lunar Ranger,,Moon
1109,1996,Lunar Ranger,,Moon
1110,1997,Lunar Ranger,,Moon
1111,1998,Lunar Ranger,,Moon
1112,1999,Lunar Ranger,,Moon
1113,2000,Lunar Ranger,,Moon
1114,2001,Lunar Ranger,,Moon
1115,2002,Lunar Ranger,,Moon
1116,2003,Lunar Ranger,,Moon
1117,2004,Lunar Ranger,,Moon
1118,2005,Lunar Ranger,,Moon
1119,2006,Lunar Ranger,,Moon
1120,2007,Lunar Ranger,,Moon
1121,2008,Lunar Ranger,,Moon
1122,2009,Lunar Ranger,,Moon
1123,2010,Lunar Ranger,,Moon
1124,2011,Lunar Ranger,,Moon
1125,2012,Lunar Ranger,,Moon
1126,2013,Lunar Ranger,,Moon
1127,2014,Lunar Ranger,,Moon
1128,2015,Lunar Ranger,,Moon
1129,2016,Lunar Ranger,,Moon
1130,2017,Lunar Ranger,,Moon
1131,2018,Lunar Ranger,,Moon
1132,2019,Lunar Ranger,,Moon
1133,2020,Lunar Ranger,,Moon
1134,2021,Lunar Ranger,,Moon
1135,2022,Lunar Ranger,,Moon
1136,2023,Lunar Ranger,,Moon
1137,2024,Lunar Ranger,,Moon
1138,2025,Lunar Ranger,,Moon
1139,1960,Lunar Surveyor,,Moon
1140,1961,Lunar Surveyor,7.054,Moon
1141,1962,Lunar Surveyor,36.825,Moon
1142,1963,Lunar Surveyor,66.386,Moon
1143,1964,Lunar Surveyor,102.704,Moon
1144,1965,Lunar Surveyor,121.878,Moon
1145,1966,Lunar Surveyor,119.634,Moon
1146,1967,Lunar Surveyor,87.542,Moon
1147,1968,Lunar Surveyor,33,Moon
1148,1969,Lunar Surveyor,,Moon
1149,1970,Lunar Surveyor,,Moon
1150,1971,Lunar Surveyor,,Moon
1151,1972,Lunar Surveyor,,Moon
1152,1973,Lunar Surveyor,,Moon
1153,1974,Lunar Surveyor,,Moon
1154,1975,Lunar Surveyor,,Moon
1155,1976,Lunar Surveyor,,Moon
1157,1977,Lunar Surveyor,,Moon
1158,1978,Lunar Surveyor,,Moon
1159,1979,Lunar Surveyor,,Moon
1160,1980,Lunar Surveyor,,Moon
1161,1981,Lunar Surveyor,,Moon
1162,1982,Lunar Surveyor,,Moon
1163,1983,Lunar Surveyor,,Moon
1164,1984,Lunar Surveyor,,Moon
1165,1985,Lunar Surveyor,,Moon
1166,1986,Lunar Surveyor,,Moon
1167,1987,Lunar Surveyor,,Moon
1168,1988,Lunar Surveyor,,Moon
1169,1989,Lunar Surveyor,,Moon
1170,1990,Lunar Surveyor,,Moon
1171,1991,Lunar Surveyor,,Moon
1172,1992,Lunar Surveyor,,Moon
1173,1993,Lunar Surveyor,,Moon
1174,1994,Lunar Surveyor,,Moon
1175,1995,Lunar Surveyor,,Moon
1176,1996,Lunar Surveyor,,Moon
1177,1997,Lunar Surveyor,,Moon
1178,1998,Lunar Surveyor,,Moon
1179,1999,Lunar Surveyor,,Moon
1180,2000,Lunar Surveyor,,Moon
1181,2001,Lunar Surveyor,,Moon
1182,2002,Lunar Surveyor,,Moon
1183,2003,Lunar Surveyor,,Moon
1184,2004,Lunar Surveyor,,Moon
1185,2005,Lunar Surveyor,,Moon
1186,2006,Lunar Surveyor,,Moon
1187,2007,Lunar Surveyor,,Moon
1188,2008,Lunar Surveyor,,Moon
1189,2009,Lunar Surveyor,,Moon
1190,2010,Lunar Surveyor,,Moon
1191,2011,Lunar Surveyor,,Moon
1192,2012,Lunar Surveyor,,Moon
1193,2013,Lunar Surveyor,,Moon
1194,2014,Lunar Surveyor,,Moon
1195,2015,Lunar Surveyor,,Moon
1196,2016,Lunar Surveyor,,Moon
1197,2017,Lunar Surveyor,,Moon
1198,2018,Lunar Surveyor,,Moon
1199,2019,Lunar Surveyor,,Moon
1200,2020,Lunar Surveyor,,Moon
1201,2021,Lunar Surveyor,,Moon
1202,2022,Lunar Surveyor,,Moon
1203,2023,Lunar Surveyor,,Moon
1204,2024,Lunar Surveyor,,Moon
1205,2025,Lunar Surveyor,,Moon
1206,1960,Magellan,,Venus
1207,1961,Magellan,,Venus
1208,1962,Magellan,,Venus
1209,1963,Magellan,,Venus
1210,1964,Magellan,,Venus
1211,1965,Magellan,,Venus
1212,1966,Magellan,,Venus
1213,1967,Magellan,,Venus
1214,1968,Magellan,,Venus
1215,1969,Magellan,,Venus
1216,1970,Magellan,,Venus
1217,1971,Magellan,,Venus
1218,1972,Magellan,,Venus
1219,1973,Magellan,,Venus
1220,1974,Magellan,,Venus
1221,1975,Magellan,,Venus
1222,1976,Magellan,,Venus
1224,1977,Magellan,,Venus
1225,1978,Magellan,,Venus
1226,1979,Magellan,,Venus
1227,1980,Magellan,,Venus
1228,1981,Magellan,,Venus
1229,1982,Magellan,,Venus
1230,1983,Magellan,,Venus
1231,1984,Magellan,29,Venus
1232,1985,Magellan,92.5,Venus
1233,1986,Magellan,120.3,Venus
1234,1987,Magellan,105.3,Venus
1235,1988,Magellan,73,Venus
1236,1989,Magellan,60.2,Venus
1237,1990,Magellan,41.207,Venus
1238,1991,Magellan,43.3,Venus
1239,1992,Magellan,45.1,Venus
1240,1993,Magellan,7,Venus
1241,1994,Magellan,11.8,Venus
1242,1995,Magellan,,Venus
1243,1996,Magellan,,Venus
1244,1997,Magellan,,Venus
1245,1998,Magellan,,Venus
1246,1999,Magellan,,Venus
1247,2000,Magellan,,Venus
1248,2001,Magellan,,Venus
1249,2002,Magellan,,Venus
1250,2003,Magellan,,Venus
1251,2004,Magellan,,Venus
1252,2005,Magellan,,Venus
1253,2006,Magellan,,Venus
1254,2007,Magellan,,Venus
1255,2008,Magellan,,Venus
1256,2009,Magellan,,Venus
1257,2010,Magellan,,Venus
1258,2011,Magellan,,Venus
1259,2012,Magellan,,Venus
1260,2013,Magellan,,Venus
1261,2014,Magellan,,Venus
1262,2015,Magellan,,Venus
1263,2016,Magellan,,Venus
1264,2017,Magellan,,Venus
1265,2018,Magellan,,Venus
1266,2019,Magellan,,Venus
1267,2020,Magellan,,Venus
1268,2021,Magellan,,Venus
1269,2022,Magellan,,Venus
1270,2023,Magellan,,Venus
1271,2024,Magellan,,Venus
1272,2025,Magellan,,Venus
1273,1960,Mariner 1 and 2,,Venus
1274,1961,Mariner 1 and 2,,Venus
1275,1962,Mariner 1 and 2,13.226,Venus
1276,1963,Mariner 1 and 2,7.7,Venus
1277,1964,Mariner 1 and 2,,Venus
1278,1965,Mariner 1 and 2,,Venus
1279,1966,Mariner 1 and 2,,Venus
1280,1967,Mariner 1 and 2,,Venus
1281,1968,Mariner 1 and 2,,Venus
1282,1969,Mariner 1 and 2,,Venus
1283,1970,Mariner 1 and 2,,Venus
1284,1971,Mariner 1 and 2,,Venus
1285,1972,Mariner 1 and 2,,Venus
1286,1973,Mariner 1 and 2,,Venus
1287,1974,Mariner 1 and 2,,Venus
1288,1975,Mariner 1 and 2,,Venus
1289,1976,Mariner 1 and 2,,Venus
1291,1977,Mariner 1 and 2,,Venus
1292,1978,Mariner 1 and 2,,Venus
1293,1979,Mariner 1 and 2,,Venus
1294,1980,Mariner 1 and 2,,Venus
1295,1981,Mariner 1 and 2,,Venus
1296,1982,Mariner 1 and 2,,Venus
1297,1983,Mariner 1 and 2,,Venus
1298,1984,Mariner 1 and 2,,Venus
1299,1985,Mariner 1 and 2,,Venus
1300,1986,Mariner 1 and 2,,Venus
1301,1987,Mariner 1 and 2,,Venus
1302,1988,Mariner 1 and 2,,Venus
1303,1989,Mariner 1 and 2,,Venus
1304,1990,Mariner 1 and 2,,Venus
1305,1991,Mariner 1 and 2,,Venus
1306,1992,Mariner 1 and 2,,Venus
1307,1993,Mariner 1 and 2,,Venus
1308,1994,Mariner 1 and 2,,Venus
1309,1995,Mariner 1 and 2,,Venus
1310,1996,Mariner 1 and 2,,Venus
1311,1997,Mariner 1 and 2,,Venus
1312,1998,Mariner 1 and 2,,Venus
1313,1999,Mariner 1 and 2,,Venus
1314,2000,Mariner 1 and 2,,Venus
1315,2001,Mariner 1 and 2,,Venus
1316,2002,Mariner 1 and 2,,Venus
1317,2003,Mariner 1 and 2,,Venus
1318,2004,Mariner 1 and 2,,Venus
1319,2005,Mariner 1 and 2,,Venus
1320,2006,Mariner 1 and 2,,Venus
1321,2007,Mariner 1 and 2,,Venus
1322,2008,Mariner 1 and 2,,Venus
1323,2009,Mariner 1 and 2,,Venus
1324,2010,Mariner 1 and 2,,Venus
1325,2011,Mariner 1 and 2,,Venus
1326,2012,Mariner 1 and 2,,Venus
1327,2013,Mariner 1 and 2,,Venus
1328,2014,Mariner 1 and 2,,Venus
1329,2015,Mariner 1 and 2,,Venus
1330,2016,Mariner 1 and 2,,Venus
1331,2017,Mariner 1 and 2,,Venus
1332,2018,Mariner 1 and 2,,Venus
1333,2019,Mariner 1 and 2,,Venus
1334,2020,Mariner 1 and 2,,Venus
1335,2021,Mariner 1 and 2,,Venus
1336,2022,Mariner 1 and 2,,Venus
1337,2023,Mariner 1 and 2,,Venus
1338,2024,Mariner 1 and 2,,Venus
1339,2025,Mariner 1 and 2,,Venus
1340,1960,Mariner 3 and 4,,Mars
1341,1961,Mariner 3 and 4,,Mars
1342,1962,Mariner 3 and 4,,Mars
1343,1963,Mariner 3 and 4,31.8,Mars
1344,1964,Mariner 3 and 4,28.36,Mars
1345,1965,Mariner 3 and 4,16.2,Mars
1346,1966,Mariner 3 and 4,2.335,Mars
1347,1967,Mariner 3 and 4,1,Mars
1348,1968,Mariner 3 and 4,,Mars
1349,1969,Mariner 3 and 4,,Mars
1350,1970,Mariner 3 and 4,,Mars
1351,1971,Mariner 3 and 4,,Mars
1352,1972,Mariner 3 and 4,,Mars
1353,1973,Mariner 3 and 4,,Mars
1354,1974,Mariner 3 and 4,,Mars
1355,1975,Mariner 3 and 4,,Mars
1356,1976,Mariner 3 and 4,,Mars
1358,1977,Mariner 3 and 4,,Mars
1359,1978,Mariner 3 and 4,,Mars
1360,1979,Mariner 3 and 4,,Mars
1361,1980,Mariner 3 and 4,,Mars
1362,1981,Mariner 3 and 4,,Mars
1363,1982,Mariner 3 and 4,,Mars
1364,1983,Mariner 3 and 4,,Mars
1365,1984,Mariner 3 and 4,,Mars
1366,1985,Mariner 3 and 4,,Mars
1367,1986,Mariner 3 and 4,,Mars
1368,1987,Mariner 3 and 4,,Mars
1369,1988,Mariner 3 and 4,,Mars
1370,1989,Mariner 3 and 4,,Mars
1371,1990,Mariner 3 and 4,,Mars
1372,1991,Mariner 3 and 4,,Mars
1373,1992,Mariner 3 and 4,,Mars
1374,1993,Mariner 3 and 4,,Mars
1375,1994,Mariner 3 and 4,,Mars
1376,1995,Mariner 3 and 4,,Mars
1377,1996,Mariner 3 and 4,,Mars
1378,1997,Mariner 3 and 4,,Mars
1379,1998,Mariner 3 and 4,,Mars
1380,1999,Mariner 3 and 4,,Mars
1381,2000,Mariner 3 and 4,,Mars
1382,2001,Mariner 3 and 4,,Mars
1383,2002,Mariner 3 and 4,,Mars
1384,2003,Mariner 3 and 4,,Mars
1385,2004,Mariner 3 and 4,,Mars
1386,2005,Mariner 3 and 4,,Mars
1387,2006,Mariner 3 and 4,,Mars
1388,2007,Mariner 3 and 4,,Mars
1389,2008,Mariner 3 and 4,,Mars
1390,2009,Mariner 3 and 4,,Mars
1391,2010,Mariner 3 and 4,,Mars
1392,2011,Mariner 3 and 4,,Mars
1393,2012,Mariner 3 and 4,,Mars
1394,2013,Mariner 3 and 4,,Mars
1395,2014,Mariner 3 and 4,,Mars
1396,2015,Mariner 3 and 4,,Mars
1397,2016,Mariner 3 and 4,,Mars
1398,2017,Mariner 3 and 4,,Mars
1399,2018,Mariner 3 and 4,,Mars
1400,2019,Mariner 3 and 4,,Mars
1401,2020,Mariner 3 and 4,,Mars
1402,2021,Mariner 3 and 4,,Mars
1403,2022,Mariner 3 and 4,,Mars
1404,2023,Mariner 3 and 4,,Mars
1405,2024,Mariner 3 and 4,,Mars
1406,2025,Mariner 3 and 4,,Mars
1407,1960,Mariner 5,,Venus
1408,1961,Mariner 5,,Venus
1409,1962,Mariner 5,,Venus
1410,1963,Mariner 5,,Venus
1411,1964,Mariner 5,,Venus
1412,1965,Mariner 5,,Venus
1413,1966,Mariner 5,10.9,Venus
1414,1967,Mariner 5,12.058,Venus
1415,1968,Mariner 5,3.4,Venus
1416,1969,Mariner 5,,Venus
1417,1970,Mariner 5,,Venus
1418,1971,Mariner 5,,Venus
1419,1972,Mariner 5,,Venus
1420,1973,Mariner 5,,Venus
1421,1974,Mariner 5,,Venus
1422,1975,Mariner 5,,Venus
1423,1976,Mariner 5,,Venus
1425,1977,Mariner 5,,Venus
1426,1978,Mariner 5,,Venus
1427,1979,Mariner 5,,Venus
1428,1980,Mariner 5,,Venus
1429,1981,Mariner 5,,Venus
1430,1982,Mariner 5,,Venus
1431,1983,Mariner 5,,Venus
1432,1984,Mariner 5,,Venus
1433,1985,Mariner 5,,Venus
1434,1986,Mariner 5,,Venus
1435,1987,Mariner 5,,Venus
1436,1988,Mariner 5,,Venus
1437,1989,Mariner 5,,Venus
1438,1990,Mariner 5,,Venus
1439,1991,Mariner 5,,Venus
1440,1992,Mariner 5,,Venus
1441,1993,Mariner 5,,Venus
1442,1994,Mariner 5,,Venus
1443,1995,Mariner 5,,Venus
1444,1996,Mariner 5,,Venus
1445,1997,Mariner 5,,Venus
1446,1998,Mariner 5,,Venus
1447,1999,Mariner 5,,Venus
1448,2000,Mariner 5,,Venus
1449,2001,Mariner 5,,Venus
1450,2002,Mariner 5,,Venus
1451,2003,Mariner 5,,Venus
1452,2004,Mariner 5,,Venus
1453,2005,Mariner 5,,Venus
1454,2006,Mariner 5,,Venus
1455,2007,Mariner 5,,Venus
1456,2008,Mariner 5,,Venus
1457,2009,Mariner 5,,Venus
1458,2010,Mariner 5,,Venus
1459,2011,Mariner 5,,Venus
1460,2012,Mariner 5,,Venus
1461,2013,Mariner 5,,Venus
1462,2014,Mariner 5,,Venus
1463,2015,Mariner 5,,Venus
1464,2016,Mariner 5,,Venus
1465,2017,Mariner 5,,Venus
1466,2018,Mariner 5,,Venus
1467,2019,Mariner 5,,Venus
1468,2020,Mariner 5,,Venus
1469,2021,Mariner 5,,Venus
1470,2022,Mariner 5,,Venus
1471,2023,Mariner 5,,Venus
1472,2024,Mariner 5,,Venus
1473,2025,Mariner 5,,Venus
1474,1960,Mariner 6 and 7,,Mars
1475,1961,Mariner 6 and 7,,Mars
1476,1962,Mariner 6 and 7,,Mars
1477,1963,Mariner 6 and 7,,Mars
1478,1964,Mariner 6 and 7,,Mars
1479,1965,Mariner 6 and 7,,Mars
1480,1966,Mariner 6 and 7,,Mars
1481,1967,Mariner 6 and 7,30.13,Mars
1482,1968,Mariner 6 and 7,62.85,Mars
1483,1969,Mariner 6 and 7,26.13,Mars
1484,1970,Mariner 6 and 7,3.715,Mars
1485,1971,Mariner 6 and 7,0.188,Mars
1486,1972,Mariner 6 and 7,,Mars
1487,1973,Mariner 6 and 7,,Mars
1488,1974,Mariner 6 and 7,,Mars
1489,1975,Mariner 6 and 7,,Mars
1490,1976,Mariner 6 and 7,,Mars
1492,1977,Mariner 6 and 7,,Mars
1493,1978,Mariner 6 and 7,,Mars
1494,1979,Mariner 6 and 7,,Mars
1495,1980,Mariner 6 and 7,,Mars
1496,1981,Mariner 6 and 7,,Mars
1497,1982,Mariner 6 and 7,,Mars
1498,1983,Mariner 6 and 7,,Mars
1499,1984,Mariner 6 and 7,,Mars
1500,1985,Mariner 6 and 7,,Mars
1501,1986,Mariner 6 and 7,,Mars
1502,1987,Mariner 6 and 7,,Mars
1503,1988,Mariner 6 and 7,,Mars
1504,1989,Mariner 6 and 7,,Mars
1505,1990,Mariner 6 and 7,,Mars
1506,1991,Mariner 6 and 7,,Mars
1507,1992,Mariner 6 and 7,,Mars
1508,1993,Mariner 6 and 7,,Mars
1509,1994,Mariner 6 and 7,,Mars
1510,1995,Mariner 6 and 7,,Mars
1511,1996,Mariner 6 and 7,,Mars
1512,1997,Mariner 6 and 7,,Mars
1513,1998,Mariner 6 and 7,,Mars
1514,1999,Mariner 6 and 7,,Mars
1515,2000,Mariner 6 and 7,,Mars
1516,2001,Mariner 6 and 7,,Mars
1517,2002,Mariner 6 and 7,,Mars
1518,2003,Mariner 6 and 7,,Mars
1519,2004,Mariner 6 and 7,,Mars
1520,2005,Mariner 6 and 7,,Mars
1521,2006,Mariner 6 and 7,,Mars
1522,2007,Mariner 6 and 7,,Mars
1523,2008,Mariner 6 and 7,,Mars
1524,2009,Mariner 6 and 7,,Mars
1525,2010,Mariner 6 and 7,,Mars
1526,2011,Mariner 6 and 7,,Mars
1527,2012,Mariner 6 and 7,,Mars
1528,2013,Mariner 6 and 7,,Mars
1529,2014,Mariner 6 and 7,,Mars
1530,2015,Mariner 6 and 7,,Mars
1531,2016,Mariner 6 and 7,,Mars
1532,2017,Mariner 6 and 7,,Mars
1533,2018,Mariner 6 and 7,,Mars
1534,2019,Mariner 6 and 7,,Mars
1535,2020,Mariner 6 and 7,,Mars
1536,2021,Mariner 6 and 7,,Mars
1537,2022,Mariner 6 and 7,,Mars
1538,2023,Mariner 6 and 7,,Mars
1539,2024,Mariner 6 and 7,,Mars
1540,2025,Mariner 6 and 7,,Mars
1541,1960,Mariner 6 and 7,,Mars
1542,1961,Mariner 6 and 7,,Mars
1543,1962,Mariner 6 and 7,,Mars
1544,1963,Mariner 6 and 7,,Mars
1545,1964,Mariner 6 and 7,,Mars
1546,1965,Mariner 6 and 7,,Mars
1547,1966,Mariner 6 and 7,,Mars
1548,1967,Mariner 6 and 7,,Mars
1549,1968,Mariner 6 and 7,,Mars
1550,1969,Mariner 6 and 7,31.619,Mars
1551,1970,Mariner 6 and 7,68.456,Mars
1552,1971,Mariner 6 and 7,31.291,Mars
1553,1972,Mariner 6 and 7,17,Mars
1554,1973,Mariner 6 and 7,7.176,Mars
1555,1974,Mariner 6 and 7,,Mars
1556,1975,Mariner 6 and 7,,Mars
1557,1976,Mariner 6 and 7,,Mars
1559,1977,Mariner 6 and 7,,Mars
1560,1978,Mariner 6 and 7,,Mars
1561,1979,Mariner 6 and 7,,Mars
1562,1980,Mariner 6 and 7,,Mars
1563,1981,Mariner 6 and 7,,Mars
1564,1982,Mariner 6 and 7,,Mars
1565,1983,Mariner 6 and 7,,Mars
1566,1984,Mariner 6 and 7,,Mars
1567,1985,Mariner 6 and 7,,Mars
1568,1986,Mariner 6 and 7,,Mars
1569,1987,Mariner 6 and 7,,Mars
1570,1988,Mariner 6 and 7,,Mars
1571,1989,Mariner 6 and 7,,Mars
1572,1990,Mariner 6 and 7,,Mars
1573,1991,Mariner 6 and 7,,Mars
1574,1992,Mariner 6 and 7,,Mars
1575,1993,Mariner 6 and 7,,Mars
1576,1994,Mariner 6 and 7,,Mars
1577,1995,Mariner 6 and 7,,Mars
1578,1996,Mariner 6 and 7,,Mars
1579,1997,Mariner 6 and 7,,Mars
1580,1998,Mariner 6 and 7,,Mars
1581,1999,Mariner 6 and 7,,Mars
1582,2000,Mariner 6 and 7,,Mars
1583,2001,Mariner 6 and 7,,Mars
1584,2002,Mariner 6 and 7,,Mars
1585,2003,Mariner 6 and 7,,Mars
1586,2004,Mariner 6 and 7,,Mars
1587,2005,Mariner 6 and 7,,Mars
1588,2006,Mariner 6 and 7,,Mars
1589,2007,Mariner 6 and 7,,Mars
1590,2008,Mariner 6 and 7,,Mars
1591,2009,Mariner 6 and 7,,Mars
1592,2010,Mariner 6 and 7,,Mars
1593,2011,Mariner 6 and 7,,Mars
1594,2012,Mariner 6 and 7,,Mars
1595,2013,Mariner 6 and 7,,Mars
1596,2014,Mariner 6 and 7,,Mars
1597,2015,Mariner 6 and 7,,Mars
1598,2016,Mariner 6 and 7,,Mars
1599,2017,Mariner 6 and 7,,Mars
1600,2018,Mariner 6 and 7,,Mars
1601,2019,Mariner 6 and 7,,Mars
1602,2020,Mariner 6 and 7,,Mars
1603,2021,Mariner 6 and 7,,Mars
1604,2022,Mariner 6 and 7,,Mars
1605,2023,Mariner 6 and 7,,Mars
1606,2024,Mariner 6 and 7,,Mars
1607,2025,Mariner 6 and 7,,Mars
1608,1960,Mariner 10,,Mercury
1609,1961,Mariner 10,,Mercury
1610,1962,Mariner 10,,Mercury
1611,1963,Mariner 10,,Mercury
1612,1964,Mariner 10,,Mercury
1613,1965,Mariner 10,,Mercury
1614,1966,Mariner 10,,Mercury
1615,1967,Mariner 10,,Mercury
1616,1968,Mariner 10,,Mercury
1617,1969,Mariner 10,,Mercury
1618,1970,Mariner 10,0.9,Mercury
1619,1971,Mariner 10,13.406,Mercury
1620,1972,Mariner 10,52.4,Mercury
1621,1973,Mariner 10,37.307,Mercury
1622,1974,Mariner 10,11.17,Mercury
1623,1975,Mariner 10,5.324,Mercury
1624,1976,Mariner 10,,Mercury
1626,1977,Mariner 10,,Mercury
1627,1978,Mariner 10,,Mercury
1628,1979,Mariner 10,,Mercury
1629,1980,Mariner 10,,Mercury
1630,1981,Mariner 10,,Mercury
1631,1982,Mariner 10,,Mercury
1632,1983,Mariner 10,,Mercury
1633,1984,Mariner 10,,Mercury
1634,1985,Mariner 10,,Mercury
1635,1986,Mariner 10,,Mercury
1636,1987,Mariner 10,,Mercury
1637,1988,Mariner 10,,Mercury
1638,1989,Mariner 10,,Mercury
1639,1990,Mariner 10,,Mercury
1640,1991,Mariner 10,,Mercury
1641,1992,Mariner 10,,Mercury
1642,1993,Mariner 10,,Mercury
1643,1994,Mariner 10,,Mercury
1644,1995,Mariner 10,,Mercury
1645,1996,Mariner 10,,Mercury
